# Scalar ASCII output created by CarpetIOScalar
# created on nid12008 by elihu on May 01 2017 at 06:59:11-0500
# parameter filename: "/scratch/sciteam/elihu/simulations/J0040_N40/output-0013/J0040_N40.par"
# Build ID: build-sim-h2ologin2.ncsa.illinois.edu-elihu-2016.12.02-22.38.15-4497
# Simulation ID: run-J0040_N40-nid12008-elihu-2017.05.01-11.54.09-18729
# Run ID: run-J0040_N40-nid12008-elihu-2017.05.01-11.54.09-18729
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
904192 1525.824 2975098.9642201 inf 2051087.48684989
904448 1526.256 2896114.79267913 2812275.42271349 2692447.0990845
904704 1526.688 inf inf 1688639.86078301
904960 1527.12 2916587.65192341 inf 2061155.60140374
905216 1527.552 2887325.11037308 2803043.306941 2700802.36303728
905472 1527.984 inf inf 1687841.27856053
905728 1528.416 2896073.10412713 inf inf
905984 1528.848 2919294.06819805 2785582.25070174 2700669.66927227
906240 1529.28 inf inf 1691721.49375878
906496 1529.712 2747498.2512847 inf inf
906752 1530.144 2336040.9768773 1739204.49095727 1612562.21856989
907008 1530.576 inf inf 1673158.54265505
907264 1531.008 2625031.79924908 inf inf
907520 1531.44 2385647.07710241 1793695.80809599 1648746.23139929
907776 1531.872 inf inf inf
908032 1532.304 2621386.23524643 inf inf
908288 1532.736 2347949.19343898 1738360.07036453 inf
908544 1533.168 inf inf inf
908800 1533.6 2384317.37467407 inf inf
909056 1534.032 2375680.97923269 1704188.7511941 inf
909312 1534.464 inf inf inf
909568 1534.896 2156736.60745261 inf inf
909824 1535.328 2281235.37649244 1631092.36839449 inf
910080 1535.76 inf inf inf
910336 1536.192 2228514.75527747 inf inf
910592 1536.624 2280527.97681743 1641723.29919278 1539160.51375166
910848 1537.056 inf inf inf
911104 1537.488 2562380.1849228 inf inf
911360 1537.92 2274018.97941211 1726295.34870879 inf
911616 1538.352 2914881.99960721 inf inf
911872 1538.784 2844223.93048575 inf inf
912128 1539.216 -nan 1747280.40695347 inf
912384 1539.648 inf inf 1501647.48511619
912640 1540.08 2804715.09276225 inf inf
912896 1540.512 -nan 1710976.85158546 1938666.63820783
913152 1540.944 inf inf 1504401.4516431
913408 1541.376 2802758.64112586 inf inf
913664 1541.808 -nan 1720915.24046424 1735030.17546902
913920 1542.24 inf inf 1542329.97927791
914176 1542.672 2800407.34841612 inf inf
914432 1543.104 1958349.2160173 1691258.38112708 1652248.12607298
914688 1543.536 inf inf 1541484.95611693
914944 1543.968 2697796.17224702 inf 1804363.42099973
915200 1544.4 1877458.54794916 1693335.14194928 1629205.19558934
915456 1544.832 2618955.5259055 2530062.96915016 1510049.33942592
915712 1545.264 2669279.05777837 inf 1807713.09692795
915968 1545.696 1801039.6020824 1700967.36890007 1630568.93500429
916224 1546.128 2590871.12364912 2536081.92943599 1512933.63816193
916480 1546.56 2667991.2553065 inf 1827190.01989261
916736 1546.992 1798330.42667813 1699900.68205191 1608219.03693252
916992 1547.424 2594884.491418 inf 1530676.4314079
917248 1547.856 2624290.17467633 inf 1804499.4704277
917504 1548.288 2876689.11911117 2898904.99117628 1595909.0705499
917760 1548.72 2847836.77885754 inf 1544799.2765575
918016 1549.152 2423844.60286828 inf 1817977.16513884
918272 1549.584 2883335.07953352 2932155.70191001 1615562.07660499
918528 1550.016 2862753.00650295 inf 1580190.42093969
918784 1550.448 2437429.56455559 inf 1783659.06160275
919040 1550.88 2903967.43548178 2949732.73244031 1642692.64219558
919296 1551.312 2873473.07438577 inf 1607955.80914992
919552 1551.744 2453093.1986282 inf 1781700.69435588
919808 1552.176 2902309.72863677 3007861.41590118 1784647.18924453
920064 1552.608 2738296.61599434 inf 1609275.16312473
920320 1553.04 2449462.53395053 inf 1770700.97622678
920576 1553.472 2563447.38806192 2573452.96094219 1737458.39126377
920832 1553.904 2600887.25716191 inf 1644336.48510805
921088 1554.336 2541079.57451611 inf 1801238.2011893
921344 1554.768 2631365.01604486 2541886.08374772 1799264.03007326
921600 1555.2 2626259.008721 inf 1675043.18852887
921856 1555.632 2533694.38314367 inf 1776820.94537313
922112 1556.064 2627008.19227649 2557875.94053661 1823508.07770571
922368 1556.496 2626798.82676182 inf 1691030.25512707
922624 1556.928 2613512.82584862 inf 1769798.89886659
922880 1557.36 2724907.93497368 inf 1803401.7850516
923136 1557.792 2860194.94058503 inf 1672985.57374365
923392 1558.224 2715733.95820073 inf 1767863.33552762
923648 1558.656 2952761.13972316 inf 1747679.84120449
923904 1559.088 2842353.73284012 inf 1681055.84993262
924160 1559.52 2661464.70304847 inf 1760959.46393711
924416 1559.952 2986082.05011742 3039466.03716582 1713533.90774532
924672 1560.384 2858414.7692211 inf 1681145.08131633
924928 1560.816 2646913.61288418 inf 2056356.60133881
925184 1561.248 3110356.28191709 3058543.99104599 2058607.6730312
925440 1561.68 2985711.1899254 -nan 1680869.80253224
925696 1562.112 2650973.32399408 inf 2087815.4329972
925952 1562.544 3002515.67114844 2868686.44868 2038747.95206049
926208 1562.976 2991947.57275053 inf 1683258.26436824
926464 1563.408 2869147.76011772 inf 2038760.41065976
926720 1563.84 3028751.21992414 2862854.39346557 2007423.38725779
926976 1564.272 2970311.47239969 inf 1773236.74838532
927232 1564.704 2887230.85908916 inf 2130012.85856791
927488 1565.136 3066565.57632125 2898681.8063417 1941629.06291912
927744 1565.568 2954069.67638921 inf 1863248.63503082
928000 1566 2907991.09610387 inf 2085941.16889224
928256 1566.432 3032140.86350612 2874004.31750642 1894952.68553641
928512 1566.864 2921640.66632374 -nan 1861465.96877527
928768 1567.296 2906941.30221226 inf 2038605.91996524
929024 1567.728 2988582.58180069 2846224.96917474 1829666.58024539
929280 1568.16 2885969.249693 -nan 1860321.91476774
929536 1568.592 2906718.42275758 inf 1980349.41630923
929792 1569.024 2949757.0819937 2822256.88244924 1761915.81098554
930048 1569.456 2820499.25228983 -nan 1754779.29777752
930304 1569.888 4.46619506711287e+87 inf 1886756.09861462
930560 1570.32 2965273.48391315 2875488.2828582 1714924.58992685
930816 1570.752 2842365.45723802 -nan 1737970.15941183
931072 1571.184 4.58055104715526e+87 inf 1832579.05543631
931328 1571.616 2912851.70001399 2841230.06812518 1706271.92383315
931584 1572.048 2795171.245475 inf 1720403.28929788
931840 1572.48 4.58055104696769e+87 inf 1819871.17481017
932096 1572.912 2456293.09517521 2369984.5484101 1682407.3568216
932352 1573.344 2384478.50813473 inf 1706093.08937179
